id,value
375000,0
375001,1
375002,2
375003,3
375004,4
375005,5
375006,6
375007,7
375008,8
375009,9
375010,10
375011,11
375012,12
375013,13
375014,14
375015,15
375016,16
375017,17
375018,18
375019,19
375020,20
375021,21
375022,22
375023,23
375024,24
375025,25
375026,26
375027,27
375028,28
375029,29
375030,30
375031,31
375032,32
375033,33
375034,34
375035,35
375036,36
375037,37
375038,38
375039,39
375040,40
375041,41
375042,42
375043,43
375044,44
375045,45
375046,46
375047,47
375048,48
375049,49
375050,50
375051,51
375052,52
375053,53
375054,54
375055,55
375056,56
375057,57
375058,58
375059,59
375060,60
375061,61
375062,62
375063,63
375064,64
375065,65
375066,66
375067,67
375068,68
375069,69
375070,70
375071,71
375072,72
375073,73
375074,74
375075,75
375076,76
375077,77
375078,78
375079,79
375080,80
375081,81
375082,82
375083,83
375084,84
375085,85
375086,86
375087,87
375088,88
375089,89
375090,90
375091,91
375092,92
375093,93
375094,94
375095,95
375096,96
375097,97
375098,98
375099,99
375100,100
375101,101
375102,102
375103,103
375104,104
375105,105
375106,106
375107,107
375108,108
375109,109
375110,110
375111,111
375112,112
375113,113
375114,114
375115,115
375116,116
375117,117
375118,118
375119,119
375120,120
375121,121
375122,122
375123,123
375124,124
375125,125
375126,126
375127,127
375128,128
375129,129
375130,130
375131,131
375132,132
375133,133
375134,134
375135,135
375136,136
375137,137
375138,138
375139,139
375140,140
375141,141
375142,142
375143,143
375144,144
375145,145
375146,146
375147,147
375148,148
375149,149
375150,150
375151,151
375152,152
375153,153
375154,154
375155,155
375156,156
375157,157
375158,158
375159,159
375160,160
375161,161
375162,162
375163,163
375164,164
375165,165
375166,166
375167,167
375168,168
375169,169
375170,170
375171,171
375172,172
375173,173
375174,174
375175,175
375176,176
375177,177
375178,178
375179,179
375180,180
375181,181
375182,182
375183,183
375184,184
375185,185
375186,186
375187,187
375188,188
375189,189
375190,190
375191,191
375192,192
375193,193
375194,194
375195,195
375196,196
375197,197
375198,198
375199,199
375200,200
375201,201
375202,202
375203,203
375204,204
375205,205
375206,206
375207,207
375208,208
375209,209
375210,210
375211,211
375212,212
375213,213
375214,214
375215,215
375216,216
375217,217
375218,218
375219,219
375220,220
375221,221
375222,222
375223,223
375224,224
375225,225
375226,226
375227,227
375228,228
375229,229
375230,230
375231,231
375232,232
375233,233
375234,234
375235,235
375236,236
375237,237
375238,238
375239,239
375240,240
375241,241
375242,242
375243,243
375244,244
375245,245
375246,246
375247,247
375248,248
375249,249
375250,250
375251,251
375252,252
375253,253
375254,254
375255,255
375256,256
375257,257
375258,258
375259,259
375260,260
375261,261
375262,262
375263,263
375264,264
375265,265
375266,266
375267,267
375268,268
375269,269
375270,270
375271,271
375272,272
375273,273
375274,274
375275,275
375276,276
375277,277
375278,278
375279,279
375280,280
375281,281
375282,282
375283,283
375284,284
375285,285
375286,286
375287,287
375288,288
375289,289
375290,290
375291,291
375292,292
375293,293
375294,294
375295,295
375296,296
375297,297
375298,298
375299,299
375300,300
375301,301
375302,302
375303,303
375304,304
375305,305
375306,306
375307,307
375308,308
375309,309
375310,310
375311,311
375312,312
375313,313
375314,314
375315,315
375316,316
375317,317
375318,318
375319,319
375320,320
375321,321
375322,322
375323,323
375324,324
375325,325
375326,326
375327,327
375328,328
375329,329
375330,330
375331,331
375332,332
375333,333
375334,334
375335,335
375336,336
375337,337
375338,338
375339,339
375340,340
375341,341
375342,342
375343,343
375344,344
375345,345
375346,346
375347,347
375348,348
375349,349
375350,350
375351,351
375352,352
375353,353
375354,354
375355,355
375356,356
375357,357
375358,358
375359,359
375360,360
375361,361
375362,362
375363,363
375364,364
375365,365
375366,366
375367,367
375368,368
375369,369
375370,370
375371,371
375372,372
375373,373
375374,374
375375,375
375376,376
375377,377
375378,378
375379,379
375380,380
375381,381
375382,382
375383,383
375384,384
375385,385
375386,386
375387,387
375388,388
375389,389
375390,390
375391,391
375392,392
375393,393
375394,394
375395,395
375396,396
375397,397
375398,398
375399,399
375400,400
375401,401
375402,402
375403,403
375404,404
375405,405
375406,406
375407,407
375408,408
375409,409
375410,410
375411,411
375412,412
375413,413
375414,414
375415,415
375416,416
375417,417
375418,418
375419,419
375420,420
375421,421
375422,422
375423,423
375424,424
375425,425
375426,426
375427,427
375428,428
375429,429
375430,430
375431,431
375432,432
375433,433
375434,434
375435,435
375436,436
375437,437
375438,438
375439,439
