id,value
5899,899
23081,81
86826,826
31002,2
89243,243
76304,304
77353,353
3794,794
119743,743
25168,168
88463,463
71061,61
74810,810
13576,576
72151,151
46094,94
118803,803
38146,146
108820,820
19546,546
68509,509
36559,559
38772,772
71567,567
124929,929
15657,657
45991,991
44646,646
18613,613
122602,602
78768,768
9257,257
35676,676
84610,610
80465,465
33031,31
42330,330
26396,396
2064,64
61546,546
117975,975
94890,890
37552,552
3109,109
46393,393
24094,94
5619,619
18385,385
51874,874
15462,462
40907,907
113033,33
36752,752
16298,298
26641,641
4036,36
43131,131
52014,14
122328,328
103729,729
75532,532
93020,20
117696,696
43777,777
122145,145
35032,32
30167,167
107086,86
77472,472
122721,721
88808,808
42977,977
58347,347
56462,462
82014,14
27939,939
100028,28
61668,668
15573,573
46656,656
113235,235
88797,797
2444,444
85051,51
38046,46
2029,29
110348,348
78586,586
88982,982
93309,309
107834,834
41986,986
36847,847
111221,221
76621,621
108230,230
48640,640
72691,691
65781,781
36091,91
20674,674
112588,588
83799,799
9085,85
108957,957
61181,181
23908,908
64454,454
51170,170
79194,194
11582,582
33969,969
49110,110
123604,604
261,261
19774,774
117398,398
108237,237
53818,818
90833,833
45285,285
101663,663
3232,232
121164,164
53084,84
31363,363
87982,982
20258,258
6159,159
85733,733
25482,482
21855,855
72406,406
111648,648
97942,942
33970,970
2406,406
88769,769
92577,577
89725,725
105876,876
87710,710
60513,513
102074,74
75608,608
73805,805
71737,737
28664,664
16459,459
23365,365
80340,340
75112,112
119881,881
109118,118
87283,283
70108,108
44576,576
101762,762
18413,413
65984,984
32878,878
80022,22
123410,410
75324,324
14616,616
123222,222
81127,127
7879,879
15566,566
10871,871
12232,232
96627,627
48190,190
77659,659
89568,568
1834,834
93797,797
76091,91
116030,30
124001,1
94684,684
119451,451
21778,778
69643,643
72082,82
37014,14
75012,12
95690,690
24904,904
85307,307
35335,335
102360,360
30906,906
30380,380
97039,39
114317,317
41768,768
18571,571
5824,824
50597,597
23331,331
30173,173
14190,190
52882,882
100675,675
12879,879
7743,743
80954,954
46419,419
34692,692
4139,139
122047,47
6711,711
114716,716
71402,402
78451,451
95045,45
86920,920
41562,562
92908,908
123214,214
40644,644
51524,524
120121,121
9504,504
110656,656
324,324
35028,28
95881,881
73852,852
80222,222
66035,35
47949,949
83324,324
101479,479
69071,71
111528,528
109386,386
97969,969
31691,691
49731,731
93287,287
51645,645
38049,49
46730,730
81217,217
39783,783
71894,894
11688,688
120107,107
101651,651
68014,14
69400,400
71394,394
14317,317
33490,490
35443,443
31499,499
66928,928
83317,317
93463,463
67017,17
45471,471
1739,739
90970,970
110357,357
99170,170
105717,717
95293,293
110163,163
32274,274
15041,41
116658,658
118768,768
2159,159
53867,867
81674,674
28327,327
