id,value
7926,926
55182,182
759,759
2968,968
78274,274
10702,702
104827,827
49272,272
76737,737
77570,570
19173,173
52349,349
101767,767
72761,761
112802,802
83405,405
102640,640
48091,91
55352,352
64231,231
86919,919
14047,47
46690,690
15785,785
5508,508
56116,116
53171,171
5497,497
41514,514
22455,455
25014,14
12962,962
68512,512
98809,809
44063,63
51585,585
79480,480
32561,561
100559,559
47113,113
103637,637
51080,80
120950,950
23450,450
27361,361
86018,18
97479,479
43042,42
60127,127
33329,329
70253,253
112129,129
68604,604
83968,968
2390,390
119975,975
98442,442
117304,304
62534,534
122916,916
54987,987
65283,283
38112,112
21978,978
17725,725
20229,229
78583,583
121245,245
88102,102
114484,484
13227,227
59156,156
111634,634
72605,605
48329,329
97533,533
18854,854
24563,563
45948,948
58714,714
27854,854
105678,678
35702,702
9554,554
15707,707
111750,750
42481,481
90517,517
67058,58
21397,397
81780,780
25328,328
63703,703
19103,103
76980,980
419,419
92373,373
124215,215
123137,137
103438,438
48344,344
73490,490
19738,738
80469,469
15861,861
26638,638
50788,788
110182,182
63141,141
116724,724
93177,177
35057,57
103751,751
55513,513
121541,541
7450,450
78588,588
112738,738
36217,217
98786,786
115102,102
75167,167
67774,774
31167,167
87625,625
32930,930
113225,225
20887,887
103950,950
120671,671
18844,844
70266,266
4486,486
52547,547
117831,831
44469,469
94291,291
25240,240
70585,585
79267,267
72193,193
122082,82
49118,118
122165,165
107061,61
37835,835
77492,492
39982,982
113109,109
35176,176
16707,707
83548,548
44101,101
16688,688
40035,35
82530,530
20668,668
123798,798
23310,310
34896,896
66995,995
124767,767
836,836
16749,749
15405,405
96644,644
39822,822
80514,514
45497,497
45526,526
21758,758
75286,286
106166,166
108376,376
86567,567
17415,415
80437,437
87758,758
106607,607
106101,101
51532,532
34599,599
104623,623
28605,605
82852,852
101248,248
94402,402
12998,998
3868,868
94057,57
33953,953
117623,623
55688,688
89352,352
73274,274
31454,454
51955,955
36109,109
95210,210
118802,802
22765,765
58911,911
89679,679
93263,263
1422,422
5737,737
73020,20
66028,28
69384,384
117723,723
34750,750
118337,337
63577,577
48053,53
29347,347
30375,375
72876,876
112306,306
11863,863
42411,411
18955,955
70347,347
48236,236
79655,655
117298,298
29105,105
64462,462
63082,82
26753,753
106548,548
31133,133
50944,944
80360,360
16344,344
110107,107
66360,360
65812,812
85553,553
31681,681
117827,827
89883,883
5597,597
27744,744
124879,879
27289,289
74429,429
5405,405
84751,751
71968,968
104581,581
99434,434
86315,315
66061,61
89921,921
55199,199
43138,138
108400,400
41943,943
124080,80
47529,529
8077,77
10080,80
13525,525
52895,895
96523,523
25803,803
54786,786
20930,930
64261,261
13472,472
516,516
40461,461
51693,693
26262,262
113477,477
8896,896
65503,503
41449,449
104945,945
42355,355
32656,656
110969,969
16767,767
41890,890
8923,923
95188,188
59035,35
39699,699
96306,306
107024,24
42475,475
88749,749
31994,994
49145,145
43892,892
45296,296
52458,458
111560,560
10171,171
63620,620
46029,29
9859,859
52417,417
96466,466
29243,243
29619,619
102718,718
113278,278
82358,358
25124,124
38025,25
79560,560
103186,186
50009,9
41048,48
42751,751
36173,173
103395,395
31345,345
112869,869
107671,671
95273,273
54253,253
68650,650
20487,487
124212,212
101898,898
108572,572
53369,369
82248,248
53104,104
96628,628
63669,669
18072,72
96472,472
5763,763
25169,169
12958,958
58024,24
10931,931
31157,157
124996,996
111222,222
83303,303
68802,802
56316,316
61772,772
22637,637
80257,257
34392,392
96033,33
62287,287
39287,287
52447,447
103314,314
84486,486
63849,849
24800,800
104832,832
94332,332
55782,782
6433,433
78341,341
86145,145
35380,380
114698,698
2178,178
46176,176
60360,360
118431,431
32730,730
78080,80
24664,664
38460,460
63462,462
108917,917
114124,124
97596,596
87604,604
110839,839
107015,15
64594,594
41974,974
22595,595
69752,752
105012,12
104440,440
5906,906
72040,40
110698,698
39494,494
86519,519
